Section ID & Heading,Recommendation / Requirement,Normative Keyword
8.1.27.4 Commits,The message property is Optional.,Optional
8.1.27.4.4 Author,The timestamp property for the author object is Optional.,Optional
8.1.27.4.4 Author,The name property for the author object is Optional.,Optional
8.1.27.4.4 Author,The email property for the author object is Optional.,Optional
8.1.27.4.8 Committer,The committer property is Optional.,Optional
8.1.27.4.8 Committer,The timestamp property for the committer object is Optional.,Optional
8.1.27.4.8 Committer,The name property for the committer object is Optional.,Optional
8.1.27.4.8 Committer,The email property for the committer object is Optional.,Optional
8.1.27.5 Patches,The patches property is Optional.,Optional
8.1.27.5 Patches,Each item of the patches array must be a Patch object.,must
8.1.27.5.7 Attachment Text,The content property for the attachment data is Required.,Required
8.1.27.5.7 Attachment Text,Proactive controls such as input validation and sanitization should be employed to prevent misuse of attachment text.,should
8.1.27.5.9 Resolves,The resolves property is Optional.,Optional
8.1.27.5.15 Source,The name property for the source object is Optional.,Optional
8.1.27.5.15 Source,The url property for the source object is Optional.,Optional
8.1.27.5.18 References,The references property is Optional.,Optional
8.1.27.5.18 References,Each item of the references array must be a string.,must
8.1.27.6 Notes,The notes property is Optional.,Optional
8.1.28 External References,The externalReferences property is Optional.,Optional
8.1.28 External References,Each item of the externalReferences array must be an External Reference object.,must
8.1.29 Components,All items in the nested components list must be unique.,must
8.1.30 Evidence,The evidence property is Optional.,Optional
8.1.30 Evidence,The identity property is Optional.,Optional
8.1.30 Evidence,"It is recommended that all implementations use arrays [for identity evidence], even if only one identity object is specified.",recommended
8.1.30 Evidence,The occurrences property is Optional.,Optional
8.1.30 Evidence,The callstack property is Optional.,Optional
8.1.30 Evidence,The licenses property is Optional.,Optional
8.1.30 Evidence,The copyright property is Optional.,Optional
8.1.30.1 Identity Evidence,The field property for identity evidence is Required.,Required
8.1.30.1 Identity Evidence,The confidence property is Optional.,Optional
8.1.30.1 Identity Evidence,The concludedValue property is Optional.,Optional
8.1.30.1 Identity Evidence,The methods property is Optional.,Optional
8.1.30.1 Identity Evidence,The tools property is Optional.,Optional
8.1.31 Release notes,The releaseNotes property is Optional.,Optional
8.1.31 Release notes,The type property is Required.,Required
8.1.31 Release notes,The title property is Optional.,Optional
8.1.31 Release notes,The featuredImage property is Optional.,Optional
8.1.31 Release notes,The socialImage property is Optional.,Optional
8.1.31 Release notes,The description property is Optional.,Optional
8.1.31 Release notes,The timestamp property is Optional.,Optional
8.1.31 Release notes,The aliases property is Optional.,Optional
8.1.31 Release notes,The tags property is Optional.,Optional
8.1.31 Release notes,The resolves property is Optional.,Optional
8.1.31 Release notes,The notes property is Optional.,Optional
8.1.31 Release notes,The properties property is Optional.,Optional
8.1.31 Release notes,Property names of interest to the general public are encouraged to be registered in the CycloneDX Property Taxonomy.,encouraged
8.1.31 Release notes,Formal registration of properties is optional.,optional
8.1.31 Release notes,Each item of the properties array must be a Lightweight name-value pair object.,must
8.1.31.1 Type,The type property is Required.,Required
8.1.31.7 Aliases,Each item of the aliases array must be a string.,must
8.1.31.8 Tags,Each item of the tags array must be a string.,must
8.1.31.9 Resolves,Each item of the resolves array must be an Issue object.,must
8.1.31.9.1 Issue,The type property for an Issue object is Required.,Required
8.1.31.9.2 Issue Type,The type property is Required.,Required
8.1.31.9.9 References,Each item of the references array must be a string.,must
8.1.31.10 Notes,Each item of the notes array must be a Note object.,must
8.1.31.10.1 Note,The text object in a Note is Required.,Required
8.1.31.10.3 Release note content,The text property is Required.,Required
8.1.31.10.6 Attachment Text,The content property is Required.,Required
8.1.31.10.6 Attachment Text,Proactive controls such as input validation and sanitization should be employed to prevent misuse of attachment text.,should
8.1.31.11 Properties,Each item of this array must be a Lightweight name-value pair object.,must
8.1.31.11 Properties,Property names of interest to the general public are encouraged to be registered in the CycloneDX Property Taxonomy.,encouraged
8.1.31.11 Properties,Formal registration is optional.,optional
8.1.31.11.2 Name,The name property is Required.,Required
8.1.31.11.3 Value,The value property is Optional.,Optional
8.1.32 AI/ML Model Card,The modelCard property is Optional.,Optional
8.1.32 AI/ML Model Card,This object SHOULD be specified for any component of type machine-learning-model.,SHOULD
8.1.32 AI/ML Model Card,This object must not be specified for other component types.,must not
8.1.32 AI/ML Model Card,The bom-ref property is Optional.,Optional
8.1.32 AI/ML Model Card,Every bom-ref must be unique within the BOM.,must
8.1.32 AI/ML Model Card,The bom-ref Value SHOULD not start with the BOM-Link intro 'urn:cdx:' to avoid conflicts with BOM-Links.,SHOULD not
8.1.32 AI/ML Model Card,The modelParameters property is Optional.,Optional
8.1.32 AI/ML Model Card,The quantitativeAnalysis property is Optional.,Optional
8.1.32 AI/ML Model Card,The considerations property is Optional.,Optional
8.1.32 AI/ML Model Card,The properties property is Optional.,Optional
8.1.32 AI/ML Model Card,Property names of interest to the general public are encouraged to be registered in the CycloneDX Property Taxonomy.,encouraged
8.1.32 AI/ML Model Card,Formal registration of properties is optional.,optional
8.1.32 AI/ML Model Card,Each item of the properties array must be a Lightweight name-value pair object.,must
8.1.32.2 Model Parameters,The approach property is Optional.,Optional
8.1.32.2 Model Parameters,The task property is Optional.,Optional
8.1.32.2 Model Parameters,The architectureFamily property is Optional.,Optional
8.1.32.2 Model Parameters,The modelArchitecture property is Optional.,Optional
8.1.32.2 Model Parameters,The datasets property is Optional.,Optional
8.1.32.2 Model Parameters,The inputs property is Optional.,Optional
8.1.32.2 Model Parameters,The outputs property is Optional.,Optional
8.1.32.2.1 Approach,The approach property is Optional.,Optional
8.1.32.2.1 Approach,The type property is Optional.,Optional
8.1.32.2.6 Datasets,Each item in datasets Must be one of: Inline Data Information.,Must
8.1.32.2.6 Datasets,Each item in datasets Must be one of: Data Reference.,Must
8.1.32.2.7 Inline Data Information,The bom-ref property for inline data information is Optional.,Optional
8.1.32.2.7 Inline Data Information,Every bom-ref must be unique within the BOM.,must
8.1.32.2.7 Inline Data Information,The bom-ref Value SHOULD not start with the BOM-Link intro 'urn:cdx:' to avoid conflicts with BOM-Links.,SHOULD not
8.1.32.2.7 Inline Data Information,The type property for inline data information is Required.,Required
8.1.32.2.7 Inline Data Information,The name property for inline data information is Optional.,Optional
8.1.32.2.7 Inline Data Information,The contents property for inline data information is Optional.,Optional
8.1.32.2.7 Inline Data Information,The classification property for inline data information is Optional.,Optional
8.1.32.2.7 Inline Data Information,The sensitiveData property for inline data information is Optional.,Optional
8.1.32.2.7 Inline Data Information,The graphics property for inline data information is Optional.,Optional
8.1.32.2.7 Inline Data Information,The description property for inline data information is Optional.,Optional
8.1.32.2.7 Inline Data Information,The governance property for inline data information is Optional.,Optional
8.1.32.2.8 Data Reference,The ref property for a Data Reference is Optional.,Optional
8.1.32.2.10 Type of Data,The type property (under datasets) is Required.,Required
8.1.32.2.12 Data Contents,The attachment property for data contents is Optional.,Optional
8.1.32.2.12 Data Contents,The url property for data contents is Optional.,Optional
8.1.32.2.12 Data Contents,The properties property for data contents is Optional.,Optional
8.1.32.2.13 Data Attachment,The content property for attachment data is Required.,Required
8.1.32.2.13 Data Attachment,Proactive controls such as input validation and sanitization should be employed to prevent misuse of attachment text.,should
8.1.32.2.16 Attachment Text,The content property is Required.,Required
8.1.32.2.16 Attachment Text,Proactive controls such as input validation and sanitization should be employed to prevent misuse of attachment text.,should
8.1.32.2.18 Configuration Properties,Each item of the properties array must be a Lightweight name-value pair object.,must
8.1.32.2.19 Lightweight name-value pair,Property names of interest to the general public are encouraged to be registered in the CycloneDX Property Taxonomy.,encouraged
8.1.32.2.19 Lightweight name-value pair,Formal registration of properties is optional.,optional
8.1.32.2.20 Name,The name property is Required.,Required
8.1.32.2.21 Value,The value property is Optional.,Optional
8.1.32.2.23 Sensitive Data,Each item of the sensitiveData array must be a string.,must
8.1.32.2.32 Attachment Text,Proactive controls such as input validation and sanitization should be employed to prevent misuse of attachment text.,should
8.1.32.2.32 Attachment Text,The content property is Required.,Required
8.1.32.2.35 Data Custodians,The custodians property is Optional.,Optional
8.1.32.2.83 Data Owners,The owners property is Optional.,Optional
8.1.32.2.110 Inputs,Each item of the inputs array must be an Input and Output Parameters object.,must
8.1.32.2.113 Outputs,Each item of the outputs array must be an Input and Output Parameters object.,must
8.1.33 Data,The data property is Optional.,Optional
8.1.33 Data,This object SHOULD be specified for any component of type data.,SHOULD
8.1.33 Data,This object must not be specified for other component types.,must not
8.1.33 Data,Each item of the data array must be a Data object.,must
8.1.33 Data,The bom-ref property is Optional.,Optional
8.1.33 Data,Every bom-ref must be unique within the BOM.,must
8.1.33 Data,The bom-ref Value SHOULD not start with the BOM-Link intro 'urn:cdx:' to avoid conflicts with BOM-Links.,SHOULD not
8.1.33 Data,The type property is Required.,Required
8.1.33 Data,The name property is Optional.,Optional
8.1.33 Data,The contents property is Optional.,Optional
8.1.33 Data,The classification property is Optional.,Optional
8.1.33 Data,The sensitiveData property is Optional.,Optional
8.1.33 Data,The graphics property is Optional.,Optional
8.1.33 Data,The description property is Optional.,Optional
8.1.33 Data,The governance property is Optional.,Optional
8.1.33.1.2 Type of Data,The type property is Required.,Required
8.1.33.1.4 Data Contents,The attachment property is Optional.,Optional
8.1.33.1.4 Data Contents,The url property is Optional.,Optional
8.1.33.1.4 Data Contents,The properties property is Optional.,Optional
8.1.33.1.5 Data Attachment,Proactive controls such as input validation and sanitization should be employed to prevent misuse of attachment text.,should
8.1.33.1.10 Configuration Properties,Each item of this array must be a Lightweight name-value pair object.,must
8.1.33.1.11 Lightweight name-value pair,Property names of interest to the general public are encouraged to be registered in the CycloneDX Property Taxonomy.,encouraged
8.1.33.1.11 Lightweight name-value pair,Formal registration is optional.,optional
8.1.33.1.12 Name,The name property is Required.,Required
8.1.33.1.13 Value,The value property is Optional.,Optional
8.1.33.1.15 Sensitive Data,Each item of the sensitiveData array must be a string.,must
8.1.33.1.16 Graphics Collection,The collection property is Optional.,Optional
8.1.33.1.27 Data Custodians,The custodians property is Optional.,Optional
8.1.33.1.75 Data Owners,The owners property is Optional.,Optional
8.1.34 Cryptographic Properties,The cryptoProperties property is Optional.,Optional
8.1.34 Cryptographic Properties,The assetType property is Required.,Required
8.1.34 Cryptographic Properties,The algorithmProperties property is Optional.,Optional
8.1.34 Cryptographic Properties,The certificateProperties property is Optional.,Optional
8.1.34 Cryptographic Properties,The relatedCryptoMaterialProperties property is Optional.,Optional
8.1.34 Cryptographic Properties,The protocolProperties property is Optional.,Optional
8.1.34 Cryptographic Properties,The oid property is Optional.,Optional
8.1.34.1 Asset Type,The assetType property is Required.,Required
8.1.34.1 Asset Type,The assetType value Must be one of: algorithm.,Must
8.1.34.1 Asset Type,The assetType value Must be one of: certificate.,Must
8.1.34.1 Asset Type,The assetType value Must be one of: protocol.,Must
8.1.34.1 Asset Type,The assetType value Must be one of: related-crypto-material.,Must
8.1.34.2 Algorithm Properties,The algorithmProperties property is Optional.,Optional
8.1.34.2 Algorithm Properties,The primitive property is Optional.,Optional
8.1.34.2 Algorithm Properties,The parameterSetIdentifier property is Optional.,Optional
8.1.34.2 Algorithm Properties,The curve property is Optional.,Optional
8.1.34.2 Algorithm Properties,The executionEnvironment property is Optional.,Optional
8.1.34.2 Algorithm Properties,The implementationPlatform property is Optional.,Optional
8.1.34.2 Algorithm Properties,The certificationLevel property is Optional.,Optional
8.1.34.2 Algorithm Properties,The mode property is Optional.,Optional
8.1.34.2 Algorithm Properties,The padding property is Optional.,Optional
8.1.34.2 Algorithm Properties,The cryptoFunctions property is Optional.,Optional
8.1.34.2 Algorithm Properties,The classicalSecurityLevel property is Optional.,Optional
8.1.34.2 Algorithm Properties,The nistQuantumSecurityLevel property is Optional.,Optional
8.1.34.2.1 primitive,The primitive value Must be one of: drbg.,Must
8.1.34.2.1 primitive,The primitive value Must be one of: mac.,Must
8.1.34.2.1 primitive,The primitive value Must be one of: block-cipher.,Must
8.1.34.2.1 primitive,The primitive value Must be one of: stream-cipher.,Must
8.1.34.2.1 primitive,The primitive value Must be one of: signature.,Must
8.1.34.2.1 primitive,The primitive value Must be one of: hash.,Must
8.1.34.2.1 primitive,The primitive value Must be one of: pke.,Must
8.1.34.2.1 primitive,The primitive value Must be one of: xof.,Must
8.1.34.2.1 primitive,The primitive value Must be one of: kdf.,Must
8.1.34.2.1 primitive,The primitive value Must be one of: key-agree.,Must
8.1.34.2.1 primitive,The primitive value Must be one of: kem.,Must
8.1.34.2.1 primitive,The primitive value Must be one of: ae.,Must
8.1.34.2.1 primitive,The primitive value Must be one of: combiner.,Must
8.1.34.2.1 primitive,The primitive value Must be one of: other.,Must
8.1.34.2.1 primitive,The primitive value Must be one of: unknown.,Must
8.1.34.2.3 Elliptic Curve,The curve property is Optional.,Optional
8.1.34.2.3 Elliptic Curve,CycloneDX recommends using curve names as defined at https://neuromancer.sk/std/.,recommends
8.1.34.2.4 Execution Environment,The executionEnvironment property is Optional.,Optional
8.1.34.2.4 Execution Environment,The executionEnvironment value Must be one of: software-plain-ram.,Must
8.1.34.2.4 Execution Environment,The executionEnvironment value Must be one of: software-encrypted-ram.,Must
8.1.34.2.4 Execution Environment,The executionEnvironment value Must be one of: software-tee.,Must
8.1.34.2.4 Execution Environment,The executionEnvironment value Must be one of: hardware.,Must
8.1.34.2.4 Execution Environment,The executionEnvironment value Must be one of: other.,Must
8.1.34.2.4 Execution Environment,The executionEnvironment value Must be one of: unknown.,Must
8.1.34.2.5 Implementation platform,The implementationPlatform property is Optional.,Optional
8.1.34.2.5 Implementation platform,The implementationPlatform value Must be one of: generic.,Must
8.1.34.2.5 Implementation platform,The implementationPlatform value Must be one of: x86_32.,Must
8.1.34.2.5 Implementation platform,The implementationPlatform value Must be one of: x86_64.,Must
8.1.34.2.5 Implementation platform,The implementationPlatform value Must be one of: armv7-a.,Must
8.1.34.2.5 Implementation platform,The implementationPlatform value Must be one of: armv7-m.,Must
8.1.34.2.5 Implementation platform,The implementationPlatform value Must be one of: armv8-a.,Must
8.1.34.2.5 Implementation platform,The implementationPlatform value Must be one of: armv8-m.,Must
8.1.34.2.5 Implementation platform,The implementationPlatform value Must be one of: armv9-a.,Must
8.1.34.2.5 Implementation platform,The implementationPlatform value Must be one of: armv9-m.,Must
8.1.34.2.5 Implementation platform,The implementationPlatform value Must be one of: s390x.,Must
8.1.34.2.5 Implementation platform,The implementationPlatform value Must be one of: ppc64.,Must
8.1.34.2.5 Implementation platform,The implementationPlatform value Must be one of: ppc64le.,Must
8.1.34.2.5 Implementation platform,The implementationPlatform value Must be one of: other.,Must
8.1.34.2.5 Implementation platform,The implementationPlatform value Must be one of: unknown.,Must
8.1.34.2.6 Certification Level,The certificationLevel property is Optional.,Optional
8.1.34.2.6 Certification Level,Each item of the certificationLevel array must be a string.,must
8.1.34.2.6 Certification Level,The certification level value Must be one of: none.,Must
8.1.34.2.6 Certification Level,The certification level value Must be one of: fips140-1-l1.,Must
8.1.34.2.6 Certification Level,The certification level value Must be one of: fips140-1-l2.,Must
8.1.34.2.6 Certification Level,The certification level value Must be one of: fips140-1-l3.,Must
8.1.34.2.6 Certification Level,The certification level value Must be one of: fips140-1-l4.,Must
8.1.34.2.6 Certification Level,The certification level value Must be one of: fips140-2-l1.,Must
8.1.34.2.6 Certification Level,The certification level value Must be one of: fips140-2-l2.,Must
8.1.34.2.6 Certification Level,The certification level value Must be one of: fips140-2-l3.,Must
8.1.34.2.6 Certification Level,The certification level value Must be one of: fips140-2-l4.,Must
8.1.34.2.6 Certification Level,The certification level value Must be one of: fips140-3-l1.,Must
8.1.34.2.6 Certification Level,The certification level value Must be one of: fips140-3-l2.,Must
8.1.34.2.6 Certification Level,The certification level value Must be one of: fips140-3-l3.,Must
8.1.34.2.6 Certification Level,The certification level value Must be one of: fips140-3-l4.,Must
8.1.34.2.6 Certification Level,The certification level value Must be one of: cc-eal1.,Must
8.1.34.2.6 Certification Level,The certification level value Must be one of: cc-eal1+.,Must
8.1.34.2.6 Certification Level,The certification level value Must be one of: cc-eal2.,Must
8.1.34.2.6 Certification Level,The certification level value Must be one of: cc-eal2+.,Must
8.1.34.2.6 Certification Level,The certification level value Must be one of: cc-eal3.,Must
8.1.34.2.6 Certification Level,The certification level value Must be one of: cc-eal3+.,Must
8.1.34.2.6 Certification Level,The certification level value Must be one of: cc-eal4.,Must
8.1.34.2.6 Certification Level,The certification level value Must be one of: cc-eal4+.,Must
8.1.34.2.6 Certification Level,The certification level value Must be one of: cc-eal5.,Must
8.1.34.2.6 Certification Level,The certification level value Must be one of: cc-eal5+.,Must
8.1.34.2.6 Certification Level,The certification level value Must be one of: cc-eal6.,Must
8.1.34.2.6 Certification Level,The certification level value Must be one of: cc-eal6+.,Must
8.1.34.2.6 Certification Level,The certification level value Must be one of: cc-eal7.,Must
8.1.34.2.6 Certification Level,The certification level value Must be one of: cc-eal7+.,Must
8.1.34.2.6 Certification Level,The certification level value Must be one of: other.,Must
8.1.34.2.6 Certification Level,The certification level value Must be one of: unknown.,Must
8.1.34.2.7 Mode,The mode property is Optional.,Optional
8.1.34.2.7 Mode,The mode value Must be one of: cbc.,Must
8.1.34.2.7 Mode,The mode value Must be one of: ecb.,Must
8.1.34.2.7 Mode,The mode value Must be one of: ccm.,Must
8.1.34.2.7 Mode,The mode value Must be one of: gcm.,Must
8.1.34.2.7 Mode,The mode value Must be one of: cfb.,Must
8.1.34.2.7 Mode,The mode value Must be one of: ofb.,Must
8.1.34.2.7 Mode,The mode value Must be one of: ctr.,Must
8.1.34.2.7 Mode,The mode value Must be one of: other.,Must
8.1.34.2.7 Mode,The mode value Must be one of: unknown.,Must
8.1.34.2.8 Padding,The padding property is Optional.,Optional
8.1.34.2.8 Padding,The padding value Must be one of: pkcs5.,Must
8.1.34.2.8 Padding,The padding value Must be one of: pkcs7.,Must
8.1.34.2.8 Padding,The padding value Must be one of: pkcs1v15.,Must
8.1.34.2.8 Padding,The padding value Must be one of: oaep.,Must
8.1.34.2.8 Padding,The padding value Must be one of: raw.,Must
8.1.34.2.8 Padding,The padding value Must be one of: other.,Must
8.1.34.2.8 Padding,The padding value Must be one of: unknown.,Must
8.1.34.2.9 Cryptographic functions,The cryptoFunctions property is Optional.,Optional
8.1.34.2.9 Cryptographic functions,Each item of this array must be a string.,must
8.1.34.2.9 Cryptographic functions,The cryptoFunctions value Must be one of: generate.,Must
8.1.34.2.9 Cryptographic functions,The cryptoFunctions value Must be one of: keygen.,Must
8.1.34.2.9 Cryptographic functions,The cryptoFunctions value Must be one of: encrypt.,Must
8.1.34.2.9 Cryptographic functions,The cryptoFunctions value Must be one of: decrypt.,Must
8.1.34.2.9 Cryptographic functions,The cryptoFunctions value Must be one of: digest.,Must
8.1.34.2.9 Cryptographic functions,The cryptoFunctions value Must be one of: tag.,Must
8.1.34.2.9 Cryptographic functions,The cryptoFunctions value Must be one of: keyderive.,Must
8.1.34.2.9 Cryptographic functions,The cryptoFunctions value Must be one of: sign.,Must
8.1.34.2.9 Cryptographic functions,The cryptoFunctions value Must be one of: verify.,Must
8.1.34.2.9 Cryptographic functions,The cryptoFunctions value Must be one of: encapsulate.,Must
8.1.34.2.9 Cryptographic functions,The cryptoFunctions value Must be one of: decapsulate.,Must
8.1.34.2.9 Cryptographic functions,The cryptoFunctions value Must be one of: other.,Must
8.1.34.2.9 Cryptographic functions,The cryptoFunctions value Must be one of: unknown.,Must
8.1.34.3 Certificate Properties,The certificateProperties property is Optional.,Optional
8.1.34.3 Certificate Properties,The subjectName property is Optional.,Optional
8.1.34.3 Certificate Properties,The issuerName property is Optional.,Optional
8.1.34.3 Certificate Properties,The notValidBefore property is Optional.,Optional
8.1.34.3 Certificate Properties,The notValidAfter property is Optional.,Optional
8.1.34.3 Certificate Properties,The signatureAlgorithmRef property is Optional.,Optional
8.1.34.3 Certificate Properties,The subjectPublicKeyRef property is Optional.,Optional
8.1.34.3 Certificate Properties,The certificateFormat property is Optional.,Optional
8.1.34.3 Certificate Properties,The certificateExtension property is Optional.,Optional
8.1.34.4 Related Cryptographic Material Properties,The relatedCryptoMaterialProperties property is Optional.,Optional
8.1.34.4 Related Cryptographic Material Properties,The type property is Optional.,Optional
8.1.34.4 Related Cryptographic Material Properties,The id property is Optional.,Optional
8.1.34.4 Related Cryptographic Material Properties,The state property is Optional.,Optional
8.1.34.4 Related Cryptographic Material Properties,The algorithmRef property is Optional.,Optional
8.1.34.4 Related Cryptographic Material Properties,The creationDate property is Optional.,Optional
8.1.34.4 Related Cryptographic Material Properties,The activationDate property is Optional.,Optional
8.1.34.4 Related Cryptographic Material Properties,The updateDate property is Optional.,Optional
8.1.34.4 Related Cryptographic Material Properties,The expirationDate property is Optional.,Optional
8.1.34.4 Related Cryptographic Material Properties,The value property is Optional.,Optional
8.1.34.4 Related Cryptographic Material Properties,The size property is Optional.,Optional
8.1.34.4 Related Cryptographic Material Properties,The format property is Optional.,Optional
8.1.34.4 Related Cryptographic Material Properties,The securedBy property is Optional.,Optional
8.1.34.4.1 relatedCryptoMaterialType,The type property is Optional.,Optional
8.1.34.4.1 relatedCryptoMaterialType,The type value Must be one of: private-key.,Must
8.1.34.4.1 relatedCryptoMaterialType,The type value Must be one of: public-key.,Must
8.1.34.4.1 relatedCryptoMaterialType,The type value Must be one of: secret-key.,Must
8.1.34.4.1 relatedCryptoMaterialType,The type value Must be one of: key.,Must
8.1.34.4.1 relatedCryptoMaterialType,The type value Must be one of: ciphertext.,Must
8.1.34.4.1 relatedCryptoMaterialType,The type value Must be one of: signature.,Must
8.1.34.4.1 relatedCryptoMaterialType,The type value Must be one of: digest.,Must
8.1.34.4.1 relatedCryptoMaterialType,The type value Must be one of: initialization-vector.,Must
8.1.34.4.1 relatedCryptoMaterialType,The type value Must be one of: nonce.,Must
8.1.34.4.1 relatedCryptoMaterialType,The type value Must be one of: seed.,Must
8.1.34.4.1 relatedCryptoMaterialType,The type value Must be one of: salt.,Must
8.1.34.4.1 relatedCryptoMaterialType,The type value Must be one of: shared-secret.,Must
8.1.34.4.1 relatedCryptoMaterialType,The type value Must be one of: tag.,Must
8.1.34.4.1 relatedCryptoMaterialType,The type value Must be one of: additional-data.,Must
8.1.34.4.1 relatedCryptoMaterialType,The type value Must be one of: password.,Must
8.1.34.4.1 relatedCryptoMaterialType,The type value Must be one of: credential.,Must
8.1.34.4.1 relatedCryptoMaterialType,The type value Must be one of: token.,Must
8.1.34.4.1 relatedCryptoMaterialType,The type value Must be one of: other.,Must
8.1.34.4.1 relatedCryptoMaterialType,The type value Must be one of: unknown.,Must
8.1.34.4.3 State,The state property is Optional.,Optional
8.1.34.4.3 State,The state value Must be one of: pre-activation.,Must
8.1.34.4.3 State,The state value Must be one of: active.,Must
8.1.34.4.3 State,The state value Must be one of: suspended.,Must
8.1.34.4.3 State,The state value Must be one of: deactivated.,Must
8.1.34.4.3 State,The state value Must be one of: compromised.,Must
8.1.34.4.3 State,The state value Must be one of: destroyed.,Must
8.1.34.4.12 Secured By,The mechanism property is Optional.,Optional
8.1.34.4.12 Secured By,The algorithmRef property is Optional.,Optional
8.1.34.4.13 Mechanism,The mechanism property is Optional.,Optional
8.1.34.4.14 Algorithm Reference,The algorithmRef property is Optional.,Optional
8.1.34.5 Protocol Properties,The protocolProperties property is Optional.,Optional
8.1.34.5 Protocol Properties,The type property is Optional.,Optional
8.1.34.5 Protocol Properties,The version property is Optional.,Optional
8.1.34.5 Protocol Properties,The cipherSuites property is Optional.,Optional
8.1.34.5 Protocol Properties,The ikev2TransformTypes property is Optional.,Optional
8.1.34.5 Protocol Properties,The cryptoRefArray property is Optional.,Optional
8.1.34.5.1 Type,The type property is Optional.,Optional
8.1.34.5.1 Type,The type value Must be one of: tls.,Must
8.1.34.5.1 Type,The type value Must be one of: ssh.,Must
8.1.34.5.1 Type,The type value Must be one of: ipsec.,Must
8.1.34.5.1 Type,The type value Must be one of: ike.,Must
8.1.34.5.1 Type,The type value Must be one of: sstp.,Must
8.1.34.5.1 Type,The type value Must be one of: wpa.,Must
8.1.34.5.1 Type,The type value Must be one of: other.,Must
8.1.34.5.1 Type,The type value Must be one of: unknown.,Must
8.1.34.5.3 Cipher Suites,Each item of this array must be a Cipher Suite object.,must
8.1.34.5.4 Cipher Suite,The name property is Optional.,Optional
8.1.34.5.4 Cipher Suite,The algorithms property is Optional.,Optional
8.1.34.5.4 Cipher Suite,The identifiers property is Optional.,Optional
8.1.34.5.6 Related Algorithms,Each item of the algorithms array must be a string.,must
8.1.34.5.7 Cipher Suite Identifiers,Each item of this array must be a string.,must
8.1.34.5.8 IKEv2 Transform Types,The encr property is Optional.,Optional
8.1.34.5.8 IKEv2 Transform Types,The prf property is Optional.,Optional
8.1.34.5.8 IKEv2 Transform Types,The integ property is Optional.,Optional
8.1.34.5.8 IKEv2 Transform Types,The ke property is Optional.,Optional
8.1.34.5.8 IKEv2 Transform Types,The esn property is Optional.,Optional
8.1.34.5.8 IKEv2 Transform Types,The auth property is Optional.,Optional
8.1.34.5.9 Encryption Algorithm (ENCR),The encr Value SHOULD not start with the BOM-Link intro 'urn:cdx:' to avoid conflicts with BOM-Links.,SHOULD not
8.1.34.5.9 Encryption Algorithm (ENCR),Each item of this array must be a string.,must
8.1.34.5.10 Pseudorandom Function (PRF),The prf Value SHOULD not start with the BOM-Link intro 'urn:cdx:' to avoid conflicts with BOM-Links.,SHOULD not
8.1.34.5.10 Pseudorandom Function (PRF),Each item of this array must be a string.,must
8.1.34.5.11 Integrity Algorithm (INTEG),The integ Value SHOULD not start with the BOM-Link intro 'urn:cdx:' to avoid conflicts with BOM-Links.,SHOULD not
8.1.34.5.11 Integrity Algorithm (INTEG),Each item of this array must be a string.,must
8.1.34.5.12 Key Exchange Method (KE),The ke Value SHOULD not start with the BOM-Link intro 'urn:cdx:' to avoid conflicts with BOM-Links.,SHOULD not
8.1.34.5.12 Key Exchange Method (KE),Each item of this array must be a string.,must
8.1.34.5.14 IKEv2 Authentication method,The auth Value SHOULD not start with the BOM-Link intro 'urn:cdx:' to avoid conflicts with BOM-Links.,SHOULD not
8.1.34.5.14 IKEv2 Authentication method,Each item of this array must be a string.,must
8.1.34.5.15 Cryptographic References,The cryptoRefArray property is Optional.,Optional
8.1.34.5.15 Cryptographic References,The cryptoRefArray Value SHOULD not start with the BOM-Link intro 'urn:cdx:' to avoid conflicts with BOM-Links.,SHOULD not
8.1.34.5.15 Cryptographic References,Each item of this array must be a string.,must
8.1.35 Properties,The properties property is Optional.,Optional
8.1.35 Properties,Property names of interest to the general public are encouraged to be registered in the CycloneDX Property Taxonomy.,encouraged
8.1.35 Properties,Formal registration is optional.,optional
8.1.35 Properties,Each item of this array must be a Lightweight name-value pair object.,must
8.1.35 Properties,The name property is Required.,Required
8.1.35 Properties,The value property is Optional.,Optional
8.1.35.1.1 Name,The name property is Required.,Required
8.1.35.1.2 Value,The value property is Optional.,Optional
8.1.36 Tags,The tags property is Optional.,Optional
8.1.36 Tags,Each item of this array must be a string.,must
8.1.37 Signature,The signature property is Optional.,Optional
8.1.37 Signature,All items must be unique.,must
9 Services,The services property is Optional.,Optional
9 Services,Each item of this array must be a Service object.,must
9.1 Service,The bom-ref property is Optional.,Optional
9.1 Service,The bom-ref Value SHOULD not start with the BOM-Link intro 'urn:cdx:' to avoid conflicts with BOM-Links.,SHOULD not
9.1 Service,The provider property is Optional.,Optional
9.1 Service,The group property is Optional.,Optional
9.1 Service,Whitespace and special characters should be avoided in the group property.,should
9.1 Service,The name property is Required.,Required
9.1 Service,The version property is Optional.,Optional
9.1 Service,The description property is Optional.,Optional
9.1 Service,The endpoints property is Optional.,Optional
9.1 Service,The authenticated property is Optional.,Optional
9.1 Service,The x-trust-boundary property is Optional.,Optional
9.1 Service,The trustZone property is Optional.,Optional
9.1 Service,The data property is Optional.,Optional
9.1 Service,The licenses property is Optional.,Optional
9.1 Service,The externalReferences property is Optional.,Optional
